[2025-04-15 14:21:35,986] 14 root - INFO - Initiate data ingestion
[2025-04-15 14:21:53,349] 64 root - INFO - Performed train test split on the dataframe
[2025-04-15 14:21:53,349] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-04-15 14:21:53,349] 76 root - INFO - Exporting train and test file path.
[2025-04-15 14:21:53,487] 84 root - INFO - Exported train and test file path.
[2025-04-15 14:21:53,487] 16 root - INFO - data initiation completed
[2025-04-15 14:21:53,598] 32 root - INFO - Required number of columns:2
[2025-04-15 14:21:53,598] 33 root - INFO - Data frame has columns:31
[2025-04-15 14:21:53,598] 32 root - INFO - Required number of columns:2
[2025-04-15 14:21:53,598] 33 root - INFO - Data frame has columns:31
[2025-04-15 14:21:53,876] 19 root - INFO - data validation completed
[2025-04-15 14:21:53,878] 21 root - INFO - data transformation start
[2025-04-15 14:21:53,878] 44 root - INFO - Entered in the initiate data tranformation method
[2025-04-15 14:21:53,878] 46 root - INFO - starting data transformation
[2025-04-15 14:21:53,956] 33 root - INFO - get_data_transformer_data entered
[2025-04-15 14:21:53,956] 36 root - INFO - Initialize KNN Imputer With {DATA_TRANSFORMATION_IMPUTER_PARAMS}
[2025-04-15 14:21:53,970] 39 root - INFO - Entered the save object method of main-utils class
