[2025-04-26 11:07:45,769] 148 numexpr.utils - INFO - Note: NumExpr detected 16 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[2025-04-26 11:07:45,769] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[2025-04-26 11:07:50,682] 1026 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-04-26 11:07:50,686] 107 dagshub - INFO - Accessing as AdityaBansal0123
[2025-04-26 11:07:52,583] 1026 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/AdityaBansal0123/networksecurity "HTTP/1.1 200 OK"
[2025-04-26 11:07:54,575] 1026 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-04-26 11:07:54,575] 107 dagshub - INFO - Initialized MLflow to track repo "AdityaBansal0123/networksecurity"
[2025-04-26 11:07:54,575] 107 dagshub - INFO - Repository AdityaBansal0123/networksecurity initialized!
[2025-04-26 11:08:05,225] 32 root - INFO - Start data Ingstion
[2025-04-26 11:08:37,952] 64 root - INFO - Performed train test split on the dataframe
[2025-04-26 11:08:37,952] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-04-26 11:08:37,952] 76 root - INFO - Exporting train and test file path.
[2025-04-26 11:08:38,193] 84 root - INFO - Exported train and test file path.
[2025-04-26 11:08:38,195] 35 root - INFO - Data Ingestion Completed and artifact
[2025-04-26 11:08:38,196] 44 root - INFO - data validation started
[2025-04-26 11:08:38,318] 32 root - INFO - Required number of columns:2
[2025-04-26 11:08:38,318] 33 root - INFO - Data frame has columns:31
[2025-04-26 11:08:38,318] 32 root - INFO - Required number of columns:2
[2025-04-26 11:08:38,318] 33 root - INFO - Data frame has columns:31
[2025-04-26 11:08:38,876] 47 root - INFO - Data validation Done and artifact
[2025-04-26 11:08:38,876] 56 root - INFO - Data Transformation Started
[2025-04-26 11:08:38,876] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-04-26 11:08:38,876] 65 root - INFO - Starting data transformation
[2025-04-26 11:08:38,974] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-04-26 11:08:38,974] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-04-26 11:08:39,004] 41 root - INFO - Entered the save object method of main-utils class
[2025-04-26 11:08:39,013] 41 root - INFO - Entered the save object method of main-utils class
[2025-04-26 11:08:39,026] 59 root - INFO - data transformation completed with artifact
[2025-04-26 11:08:39,026] 68 root - INFO - Model Trainer Start
