[2025-04-15 10:03:08,461] 13 root - INFO - Initiate data ingestion
[2025-04-15 10:03:20,496] 64 root - INFO - Performed train test split on the dataframe
[2025-04-15 10:03:20,496] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-04-15 10:03:20,496] 76 root - INFO - Exporting train and test file path.
[2025-04-15 10:03:20,638] 84 root - INFO - Exported train and test file path.
[2025-04-15 10:03:20,638] 15 root - INFO - data initiation completed
[2025-04-15 10:03:20,733] 32 root - INFO - Required number of columns:2
[2025-04-15 10:03:20,733] 33 root - INFO - Data frame has columns:31
[2025-04-15 10:03:20,733] 32 root - INFO - Required number of columns:2
[2025-04-15 10:03:20,733] 33 root - INFO - Data frame has columns:31
[2025-04-15 10:03:21,012] 18 root - INFO - data validation completed
