[2025-04-18 16:53:56,699] 19 root - INFO - Initiate the data ingestion
[2025-04-18 16:54:11,063] 64 root - INFO - Performed train test split on the dataframe
[2025-04-18 16:54:11,063] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-04-18 16:54:11,064] 76 root - INFO - Exporting train and test file path.
[2025-04-18 16:54:11,278] 84 root - INFO - Exported train and test file path.
[2025-04-18 16:54:11,279] 21 root - INFO - Data Initiation Completed
[2025-04-18 16:54:11,290] 25 root - INFO - Initiate the data Validation
[2025-04-18 16:54:11,406] 32 root - INFO - Required number of columns:2
[2025-04-18 16:54:11,408] 33 root - INFO - Data frame has columns:31
[2025-04-18 16:54:11,408] 32 root - INFO - Required number of columns:2
[2025-04-18 16:54:11,408] 33 root - INFO - Data frame has columns:31
[2025-04-18 16:54:11,903] 27 root - INFO - data Validation Completed
[2025-04-18 16:54:11,903] 30 root - INFO - data Transformation started
[2025-04-18 16:54:11,904] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-04-18 16:54:11,904] 65 root - INFO - Starting data transformation
[2025-04-18 16:54:11,984] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-04-18 16:54:11,985] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-04-18 16:54:12,014] 41 root - INFO - Entered the save object method of main-utils class
[2025-04-18 16:54:12,022] 41 root - INFO - Entered the save object method of main-utils class
[2025-04-18 16:54:12,033] 34 root - INFO - data Transformation completed
[2025-04-18 16:54:12,033] 36 root - INFO - Model Training started
[2025-04-18 17:35:41,141] 41 root - INFO - Entered the save object method of main-utils class
[2025-04-18 17:35:41,141] 41 root - INFO - Entered the save object method of main-utils class
[2025-04-18 17:35:41,141] 124 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='model_trainer\\Artifacts\\04_18_2025_16_53_54\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9909726636999364, precision_score=0.9906955460646736, recall_score=0.9912499364094216), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9898298257980063, precision_score=0.9909274193548387, recall_score=0.9887346610339972))
[2025-04-18 17:35:41,159] 41 root - INFO - Model Training artifact created
